timestamp,price
2024-09-22 00:00:00,63403.402349259355
2024-09-23 00:00:00,63582.59956924825
2024-09-24 00:00:00,63327.02654450202
2024-09-25 00:00:00,64334.14274876097
2024-09-26 00:00:00,63151.89959401337
2024-09-27 00:00:00,65130.76884023231
2024-09-28 00:00:00,65791.00212541742
2024-09-29 00:00:00,65934.10709441357
2024-09-30 00:00:00,65663.68986662335
2024-10-01 00:00:00,63243.27532464382
2024-10-02 00:00:00,60872.668543725544
2024-10-03 00:00:00,60655.55979196848
2024-10-04 00:00:00,60727.86395169296
2024-10-05 00:00:00,62103.01047283253
2024-10-06 00:00:00,62091.932585194016
2024-10-07 00:00:00,62811.79972811266
2024-10-08 00:00:00,62287.39010510681
2024-10-09 00:00:00,62185.230423727575
2024-10-10 00:00:00,60597.15045618275
2024-10-11 00:00:00,60195.18073772453
2024-10-12 00:00:00,62392.34048293159
2024-10-13 00:00:00,63207.77062127557
2024-10-14 00:00:00,62829.533686088886
2024-10-15 00:00:00,66049.99492708022
2024-10-16 00:00:00,66962.21994496793
2024-10-17 00:00:00,67647.54414766871
2024-10-18 00:00:00,67328.10527002988
2024-10-19 00:00:00,68465.61920668735
2024-10-20 00:00:00,68388.87128965274
2024-10-21 00:00:00,68962.82918045693
2024-10-21 03:08:45,68743.9124685734
