timestamp,price,price_change,rolling_mean_5,rolling_mean_10,rsi,price_lag_1,price_lag_2,macd,signal_line,rolling_max,rolling_min,smc_resistance,smc_support,current_price
2024-08-23 00:00:00,2623.289171364539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2024-08-24 00:00:00,2763.2554073640704,0.053355244830567417,0.0,0.0,0.0,2623.289171364539,0.0,11.165397743552148,2.2330795487104296,0.0,0.0,0.0,0.0,0
2024-08-25 00:00:00,2767.840733546234,0.001659392819767458,0.0,0.0,0.0,2763.2554073640704,2623.289171364539,20.151756494558867,5.8168149378801175,0.0,0.0,0.0,0.0,0
2024-08-26 00:00:00,2745.164671605207,-0.008192690304103523,0.0,0.0,0.0,2767.840733546234,2763.2554073640704,25.15378468886047,9.684208888076189,0.0,0.0,0.0,0.0,0
2024-08-27 00:00:00,2683.0801154902983,-0.02261596790789433,2716.52601987407,0.0,0.0,2745.164671605207,2767.840733546234,23.83348566737868,12.514064243936687,0.0,0.0,0.0,0.0,0
2024-08-28 00:00:00,2457.2773517547434,-0.08415804001972271,2683.323655952111,0.0,0.0,2683.0801154902983,2745.164671605207,4.514700601360346,10.91419151542142,0.0,0.0,0.0,0.0,0
2024-08-29 00:00:00,2527.0269814017706,0.028384923499668924,2636.0779707596507,0.0,0.0,2457.2773517547434,2683.0801154902983,-5.10847622326628,7.709657967683881,0.0,0.0,0.0,0.0,0
2024-08-30 00:00:00,2526.738355300341,-0.00011421567856373382,2587.857495110472,0.0,0.0,2527.0269814017706,2457.2773517547434,-12.612810276597429,3.6451643188276184,0.0,0.0,0.0,0.0,0
2024-08-31 00:00:00,2527.690204915795,0.0003767107953451809,2544.36260177259,0.0,0.0,2526.738355300341,2527.0269814017706,-18.272607525391777,-0.7383900500162608,0.0,0.0,0.0,0.0,0
2024-09-01 00:00:00,2513.3643501004462,-0.0056675674841356605,2510.4194486946194,2613.4727342843444,0.0,2527.690204915795,2526.738355300341,-23.64148999874442,-5.319010039761893,0.0,0.0,0.0,0.0,0
2024-09-02 00:00:00,2430.0202661439344,-0.03316036688161872,2504.9680315724577,2594.1458437622837,0.0,2513.3643501004462,2527.690204915795,-34.22699162540903,-11.100606356891321,0.0,0.0,0.0,0.0,0
2024-09-03 00:00:00,2534.9048168403706,0.043162006571604294,2506.5435986601774,2571.310784709914,0.0,2430.0202661439344,2513.3643501004462,-33.76356587421469,-15.633198260355995,0.0,0.0,0.0,0.0,0
2024-09-04 00:00:00,2437.1471557556497,-0.03856462792420379,2488.625358751239,2538.2414269308556,0.0,2534.9048168403706,2430.0202661439344,-40.81404497762469,-20.669367603809736,0.0,0.0,0.0,0.0,0
2024-09-05 00:00:00,2448.30785784089,0.004579412473671329,2472.748889336258,2508.555745554424,39.55432604471949,2437.1471557556497,2534.9048168403706,-44.98249487830981,-25.53199305870975,2767.840733546234,2430.0202661439344,2767.840733546234,2430.0202661439344,0
