timestamp,price,price_change,rolling_mean_5,rolling_mean_10,rsi,price_lag_1,price_lag_2
2024-10-05 00:00:00,62103.01047283253,0.02264440788224431,61520.475616972675,63327.38456055634,44.64080135005552,60727.86395169296,60655.55979196848
2024-10-06 00:00:00,62091.932585194016,-0.0001783792372410664,61290.20706908271,63221.3878596744,44.60007756157334,62103.01047283253,60727.86395169296
2024-10-07 00:00:00,62811.79972811266,0.011593569614392951,61678.033305960125,62989.49094846244,46.96154681685361,62091.932585194016,62103.01047283253
2024-10-08 00:00:00,62287.39010510681,-0.008348902997140861,62004.3993685878,62639.12974643137,45.98686442969913,62811.79972811266,62091.932585194016
2024-10-09 00:00:00,62185.230423727575,-0.0016401342423698617,62295.87266299472,62264.242079362775,41.08184375326353,62287.39010510681,62811.79972811266
2024-10-10 00:00:00,60597.15045618275,-0.025537896325601883,61994.700659664755,61757.588138318715,39.7430937477321,62185.230423727575,62287.39010510681
2024-10-11 00:00:00,60195.18073772453,-0.006633475591379279,61615.350290170856,61452.77867962678,27.311605396583758,60597.15045618275,62185.230423727575
2024-10-12 00:00:00,62392.34048293159,0.03650059221153068,61531.45844113466,61604.74587354739,36.310983230366475,60195.18073772453,60597.15045618275
2024-10-13 00:00:00,63207.77062127557,0.013069394929447364,61715.534544368405,61859.9669564781,39.583123837655535,62392.34048293159,60195.18073772453
2024-10-14 00:00:00,62829.533686088886,-0.005984025879554933,61844.39519684067,62070.13392991769,39.2596548352237,63207.77062127557,62392.34048293159
2024-10-15 00:00:00,66049.99492708022,0.05125712466817767,62934.964091020156,62464.832375342456,60.02828331158077,62829.533686088886,63207.77062127557
2024-10-16 00:00:00,66962.21994496793,0.013811129264957867,64288.37193246884,62951.86111131984,74.28895966349319,66049.99492708022,62829.533686088886
2024-10-17 00:00:00,67647.54414766871,0.010234490482304848,65339.41266541627,63435.435553275456,76.88428153946361,66962.21994496793,66049.99492708022
2024-10-18 00:00:00,67328.10527002988,-0.004722106052239328,66163.47959516713,63939.507069767766,74.90471640997256,67647.54414766871,66962.21994496793
2024-10-19 00:00:00,68465.61920668735,0.016895083146856615,67290.69669928683,64567.54594806374,74.44645968039666,67328.10527002988,67647.54414766871
2024-10-20 00:00:00,68388.87128965274,-0.0011209701734079536,67758.47197180132,65346.718031410746,74.0726625880859,68465.61920668735,67328.10527002988
2024-10-21 00:00:00,68962.82918045693,0.008392562707655538,68158.59381889911,66223.48287568399,73.78015467777686,68388.87128965274,68465.61920668735
2024-10-21 03:08:45,68743.9124685734,-0.0031744160511554265,68377.86748308006,66858.64007424816,75.56507619888353,68962.82918045693,68388.87128965274
