timestamp,price,price_change,rolling_mean_5,rolling_mean_10,rsi,price_lag_1,price_lag_2,macd,signal_line,rolling_max,rolling_min,smc_resistance,smc_support,current_price
2024-08-23 00:00:00,60387.54062321362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2024-08-24 00:00:00,64049.68561555576,0.06064404932785705,0.0,0.0,0.0,60387.54062321362,0.0,292.1369224660448,58.42738449320896,0.0,0.0,0.0,0.0,0
2024-08-25 00:00:00,64157.1606134782,0.0016779941523450415,0.0,0.0,0.0,64049.68561555576,60387.54062321362,526.2634350874796,151.9945946120631,0.0,0.0,0.0,0.0,0
2024-08-26 00:00:00,64265.81631272862,0.0016935864712752657,0.0,0.0,0.0,64157.1606134782,64049.68561555576,712.3662750007497,264.0689306898004,0.0,0.0,0.0,0.0,0
2024-08-27 00:00:00,62922.58634676265,-0.02090115776993451,63156.55790234778,0.0,0.0,64265.81631272862,64157.1606134782,742.902961123531,359.8357367765466,0.0,0.0,0.0,0.0,0
2024-08-28 00:00:00,59526.560879590994,-0.05397148566742571,62984.36195362324,0.0,0.0,62922.58634676265,64265.81631272862,487.4535701220084,385.35930344563894,0.0,0.0,0.0,0.0,0
2024-08-29 00:00:00,59015.29633887944,-0.008588847283580336,61977.484098287976,0.0,0.0,59526.560879590994,62922.58634676265,240.97549620226346,356.48254199696385,0.0,0.0,0.0,0.0,0
2024-08-30 00:00:00,59351.5794909728,0.005698237117413463,61016.367873786905,0.0,0.0,59015.29633887944,59526.560879590994,71.94574106231448,299.575181810034,0.0,0.0,0.0,0.0,0
2024-08-31 00:00:00,59156.24603646356,-0.003291124788666222,59994.45381853388,0.0,0.0,59351.5794909728,59015.29633887944,-76.88702917698538,224.28273961263014,0.0,0.0,0.0,0.0,0
2024-09-01 00:00:00,58960.23658664587,-0.0033134193420061298,59201.98386651054,61179.27088442915,0.0,59156.24603646356,59351.5794909728,-208.25377645333356,137.7754363994374,0.0,0.0,0.0,0.0,0
2024-09-02 00:00:00,57357.71617282246,-0.027179680859461985,58768.214925156826,60876.28843939004,0.0,58960.23658664587,59156.24603646356,-436.63956557651545,22.892436004246846,0.0,0.0,0.0,0.0,0
2024-09-03 00:00:00,59108.73235863689,0.030527996974958116,58786.90212910832,60382.193113698144,0.0,57357.71617282246,58960.23658664587,-470.9161483222779,-75.8692808610581,0.0,0.0,0.0,0.0,0
2024-09-04 00:00:00,57504.53858622044,-0.02713970860824999,58417.49394815784,59716.93091097237,0.0,59108.73235863689,57357.71617282246,-620.3743286341269,-184.77029041567187,0.0,0.0,0.0,0.0,0
2024-09-05 00:00:00,57987.84601410068,0.008404683173930394,58183.813943685265,59089.13388110958,42.15655839448489,57504.53858622044,59108.73235863689,-691.8469619406023,-286.185624720658,64265.81631272862,57357.71617282246,64265.81631272862,57357.71617282246,0
2024-09-06 00:00:00,56132.4047320886,-0.03199707196506141,57618.24757277381,58410.11571964218,37.596453975016296,57987.84601410068,57504.53858622044,-887.9721534159762,-406.5429304597217,64265.81631272862,56132.4047320886,64265.81631272862,56132.4047320886,0
2024-09-07 00:00:00,53923.35611071905,-0.03935424879644844,56931.37556035314,57849.795242754975,17.750141253359885,56132.4047320886,57987.84601410068,-1207.7325535311102,-566.7808550739994,64265.81631272862,53923.35611071905,64265.81631272862,53923.35611071905,0
2024-09-08 00:00:00,54150.9383589072,0.004220476331644907,55939.81676040719,57363.35944475775,18.374595078892426,53923.35611071905,56132.4047320886,-1426.3390403352969,-738.6924921262589,64265.81631272862,53923.35611071905,64265.81631272862,53923.35611071905,0
2024-09-09 00:00:00,54792.40755768575,0.0118459479783517,55397.39055470026,56907.442251429056,21.0341589843715,54150.9383589072,53923.35611071905,-1530.186020802561,-896.9911978615194,62922.58634676265,53923.35611071905,62922.58634676265,53923.35611071905,0
2024-09-10 00:00:00,57049.11875114327,0.04118656751999161,55209.64510210877,56696.729522897025,32.99143582320701,54792.40755768575,54150.9383589072,-1414.0870525076243,-1000.4103687907404,59526.560879590994,53923.35611071905,59526.560879590994,53923.35611071905,0
2024-09-11 00:00:00,57624.16178336144,0.010079788168623427,55507.99651236334,56563.122042568575,43.41512772742921,57049.11875114327,54792.40755768575,-1261.138991558204,-1052.5560933442332,59351.5794909728,53923.35611071905,59351.5794909728,53923.35611071905,0
2024-09-12 00:00:00,57381.76444500048,-0.004206522591551964,56199.678179219634,56565.52686978638,44.23853420065376,57624.16178336144,57049.11875114327,-1146.2724751672722,-1071.2993697088411,59351.5794909728,53923.35611071905,59351.5794909728,53923.35611071905,0
